species_planted	growth_form	source	target	biome
Smilax_fluminensis	climber	0	4	grassland
Acisanthera_alsinefolia	herb	1	4	grassland
Andropogon_bicornis	herb	1	6	savanna
Andropogon_leucostachyus	herb	1	6	savanna
Andropogon_sp.	herb	1	6	savanna
Andropogon_virgatus	herb	1	4	grassland
Aristida_aff._riparia	herb	1	6	savanna
Aristida_cf._recurvata	herb	1	6	savanna
Aristida_gibbosa	herb	1	6	savanna
Aristida_jubata	herb	1	4	grassland
Aristida_megapotamica	herb	1	4	grassland
Aristida_riparia	herb	1	6	savanna
Aristida_sp.	herb	1	6	savanna
Axonopus_aureus	herb	1	6	savanna
Axonopus_brasiliensis	herb	1	4	grassland
Axonopus_fissifolius	herb	1	4	grassland
Axonopus_marginatus	herb	1	4	grassland
Axonopus_pressus	herb	1	4	grassland
Axonopus_siccus	herb	1	6	savanna
Balduina_angustifolia	herb	1	5	shrubland
Barrosoa_betoniciformis	herb	1	4	grassland
Bothriochloa_insculpta	herb	1	6	savanna
Bulbostylis_cf._fimbriata	herb	1	4	grassland
Bulbostylis_fimbriata	herb	1	4	grassland
Bulbostylis_juncoides	herb	1	4	grassland
Cenchrus_ciliaris	herb	1	5	shrubland
Chamaecrista_fasciculata	herb	1	5	shrubland
Chloris_gayana	herb	1	4	grassland
Cymbopogon_pospischilii	herb	1	4	grassland
Cynodon_dactylon	herb	1	4	grassland
Dichanthium_sericeum	herb	1	4	grassland
Diectomis_fastigiata	herb	1	6	savanna
Digitaria_eriantha	herb	1	4	grassland
Echinolaena_inflexa	herb	1	6	savanna
Elionurus_muticus	herb	1	4	grassland
Enteropogon_macrostachyus	herb	1	4	grassland
Eragrostis_curvula	herb	1	4	grassland
Eragrostis_leucosticta	herb	1	4	grassland
Eragrostis_polytricha	herb	1	4	grassland
Eragrostis_superba	herb	1	4	grassland
Eragrostis_tef	herb	1	4	grassland
Eustachys_distichophylla	herb	1	4	grassland
Evolvulus_sericeus_var._sericeus	herb	1	4	grassland
Fimbristylis_dichotoma	herb	1	4	grassland
Gymnopogon_spicatus	herb	1	4	grassland
Helia_alata	herb	1	4	grassland
Heteropogon_contortus	herb	1	6	savanna
Lagenocarpus_rigidus_subsp._tenuifolius	herb	1	4	grassland
Lepidaploa_aurea	herb	1	6	savanna
Loudetiopsis_chrysothrix	herb	1	6	savanna
Lycopodiella_alopecuroides	herb	1	4	grassland
Megathyrsus_maximus	herb	1	4	grassland
Melinis_repens	herb	1	4	grassland
Microchloa_altera	herb	1	6	savanna
Paepalanthus_lundii	herb	1	4	grassland
Paspalum_ammodes	herb	1	4	grassland
Paspalum_cordatum	herb	1	4	grassland
Paspalum_flaccidum	herb	1	4	grassland
Paspalum_guenoarum	herb	1	4	grassland
Paspalum_hyalinum	herb	1	4	grassland
Paspalum_notatum	herb	1	4	grassland
Paspalum_scrobiculatum	herb	1	4	grassland
Poa_secunda	herb	1	4	grassland
Poaceae_sp.	herb	1	4	grassland
Polycarpaea_corymbosa	herb	1	4	grassland
Pterolepis_glomerata	herb	1	4	grassland
Rhynchospora_albiceps	herb	1	4	grassland
Rhynchospora_tenuis	herb	1	4	grassland
Schizachyrium_sanguineum	herb	1	6	savanna
Scleria_hirtella	herb	1	4	grassland
Sehima_nervosa	herb	1	4	grassland
Senega_timoutoides	herb	1	4	grassland
Setaria_incrassata	herb	1	4	grassland
Sorghastrum_minarum	herb	1	4	grassland
Sporobolus_metallicola	herb	1	4	grassland
Tetrapogon_roxburghiana	herb	1	5	shrubland
Thesium_aphyllum	herb	1	4	grassland
Trachypogon_spicatus	herb	1	6	savanna
Trachypogon_vestitus	herb	1	4	grassland
Trichanthecium_parvifolium	herb	1	4	grassland
Urochloa_dictyoneura	herb	1	6	savanna
Urochloa_eminii	herb	1	6	savanna
Xyris_jupicai	herb	1	4	grassland
Xyris_savanensis	herb	1	4	grassland
Xyris_tortula	herb	1	4	grassland
Calopogonium_sp	herb-climb-subshrub	1	6	savanna
Cyperus_aggregatus	herb-shrub	1	4	grassland
Zornia_reticulata	herb-shrub	1	4	grassland
Chrysolaena_obovata	herb-subshrub	1	4	grassland
Croton_glandulosus	herb-subshrub	1	4	grassland
Laurembergia_tetrandra	herb-subshrub	1	4	grassland
Mitracarpus_hirtus	herb-subshrub	1	4	grassland
Ruellia_geminiflora	herb-subshrub	1	4	grassland
Scoparia_dulcis	herb-subshrub	1	4	grassland
Sipanea_pratensis	herb-subshrub	1	4	grassland
Stylosanthes_capitata	herb-subshrub	1	6	savanna
