id	year	country	biome	species_planted	familly	native_exotic	growth_form	life_cycle	IUCN
21	2013	Brazil	savanna	Mimosa_caesalpiniifolia	Fabaceae	native	shrub	perennial	VU
21	2013	Brazil	savanna	Copaifera_langsdorffii	Fabaceae	native	tree	perennial	LC
21	2013	Brazil	savanna	Dimorphandra_mollis	Fabaceae	native	tree	perennial	LC
21	2013	Brazil	savanna	Dipteryx_alata	Fabaceae	native	tree	perennial	VU
21	2013	Brazil	savanna	Hymenaea_stigonocarpa	Fabaceae	native	tree	perennial	LC
21	2013	Brazil	savanna	Peltophorum_dubium	Fabaceae	native	tree	perennial	LC
21	2013	Brazil	savanna	Pterogyne_nitens	Fabaceae	native	tree	perennial	NT
23	2013	Brazil	savanna	Stylosanthes_macrocephala	Fabaceae	native	herb-subshrub	na	na
23	2013	Brazil	savanna	Stylosanthes_guianensis	Fabaceae	native	herb-subshrub-shrub	perennial	na
23	2013	Brazil	savanna	Couepia_grandiflora	Chrysobalanaceae	native	tree	perennial	na
23	2013	Brazil	savanna	Genipa_americana	Rubiaceae	native	tree	perennial	LC
23	2013	Brazil	savanna	Hymenaea_stigonocarpa	Fabaceae	native	tree	perennial	LC
23	2013	Brazil	savanna	Inga_laurina	Fabaceae	native	tree	perennial	LC
23	2013	Brazil	savanna	Kielmeyera_lathrophyton	Calophyllaceae	native	tree	perennial	LC
23	2013	Brazil	savanna	Tapirira_guianensis+mixture_of_Stylosanthes_capitata	Anacardiaceae	native	tree	perennial	LC
30	2015	Congo	savanna	Microchloa_altera	Poaceae	exotic	herb	perennial	na
31	2015	Brazil	savanna	Caryocar_brasiliense	Caryocaraceae	native	shrub-tree	perennial	LC
31	2015	Brazil	savanna	Eugenia_dysenterica	Myrtaceae	native	shrub-tree	perennial	LC
31	2015	Brazil	savanna	Terminalia_argentea	Combretaceae	native	shrub-tree	perennial	LC
31	2015	Brazil	savanna	Acrocomia_aculeata	Arecaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Anacardium_occidentale	Anacardiaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Annona_crassiflora	Annonaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Aspidosperma_macrocarpon	Apocynaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Dipteryx_alata	Fabaceae	native	tree	perennial	VU
31	2015	Brazil	savanna	Eriotheca_pubescens	Malvaceae	native	tree	perennial	na
31	2015	Brazil	savanna	Hymenaea_stigonocarpa	Fabaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Magonia_pubescens	Sapindaceae	native	tree	perennial	LC
31	2015	Brazil	savanna	Tabebuia_aurea	Bignoniaceae	native	tree	perennial	LC
44	2018	Brazil	grassland	Axonopus_fissifolius	Poaceae	native	herb	annual-perennial	na
44	2018	Brazil	grassland	Paspalum_guenoarum	Poaceae	native	herb	perennial	na
44	2018	Brazil	grassland	Paspalum_notatum	Poaceae	native	herb	perennial	na
46	2019	Australia	savanna	Heteropogon_contortus	Poaceae	exotic	herb	perennial	na
51	2020	South_Africa	grassland	Chloris_gayana	Poaceae	native	herb	perennial	na
51	2020	South_Africa	grassland	Cynodon_dactylon	Poaceae	native	herb	perennial	EN
51	2020	South_Africa	grassland	Digitaria_eriantha	Poaceae	native	herb	perennial	na
51	2020	South_Africa	grassland	Eragrostis_curvula	Poaceae	native	herb	perennial	na
51	2020	South_Africa	grassland	Eragrostis_tef	Poaceae	exotic	herb	annual	na
53	2020	Kenya	grassland	Cenchrus_ciliaris	Poaceae	native	herb	perennial	LC
53	2020	Kenya	grassland	Cymbopogon_pospischilii	Poaceae	native	herb	perennial	na
53	2020	Kenya	grassland	Enteropogon_macrostachyus	Poaceae	native	herb	perennial	na
53	2020	Kenya	grassland	Eragrostis_superba	Poaceae	native	herb	perennial	na
53	2020	Kenya	grassland	Sehima_nervosa	Poaceae	native	herb	perennial	na
54	2021	Brazil	savanna	Anatherum_bicorne	Poaceae	native	herb	perennial	na
